"","Sample_ID","Stiffness_Score","Tumor_Type"
"TCGA-2H-A9GN-01A-11R-A37I-31","TCGA-2H-A9GN-01A-11R-A37I-31",26.9551649122807,"TCGA-ESCA"
"TCGA-L5-A4OR-01A-11R-A260-31","TCGA-L5-A4OR-01A-11R-A260-31",13.1291947368421,"TCGA-ESCA"
"TCGA-L5-A4OE-01A-11R-A260-31","TCGA-L5-A4OE-01A-11R-A260-31",10.9880964912281,"TCGA-ESCA"
"TCGA-LN-A49V-01A-11R-A24K-31","TCGA-LN-A49V-01A-11R-A24K-31",15.1543035087719,"TCGA-ESCA"
"TCGA-VR-A8EX-01A-11R-A36D-31","TCGA-VR-A8EX-01A-11R-A36D-31",6.46885614035088,"TCGA-ESCA"
"TCGA-JY-A939-01A-12R-A37I-31","TCGA-JY-A939-01A-12R-A37I-31",16.1434087719298,"TCGA-ESCA"
"TCGA-Z6-A8JE-01A-11R-A37I-31","TCGA-Z6-A8JE-01A-11R-A37I-31",73.8467578947368,"TCGA-ESCA"
"TCGA-L5-A4OM-01A-11R-A260-31","TCGA-L5-A4OM-01A-11R-A260-31",13.8494368421053,"TCGA-ESCA"
"TCGA-Z6-A9VB-01A-21R-A37I-31","TCGA-Z6-A9VB-01A-21R-A37I-31",10.817298245614,"TCGA-ESCA"
"TCGA-L5-A43J-01A-12R-A24K-31","TCGA-L5-A43J-01A-12R-A24K-31",29.7330070175439,"TCGA-ESCA"
"TCGA-L5-A43I-01A-11R-A24K-31","TCGA-L5-A43I-01A-11R-A24K-31",7.7858701754386,"TCGA-ESCA"
"TCGA-L5-A88S-01A-11R-A36D-31","TCGA-L5-A88S-01A-11R-A36D-31",73.7897614035088,"TCGA-ESCA"
"TCGA-VR-A8Q7-01A-11R-A37I-31","TCGA-VR-A8Q7-01A-11R-A37I-31",19.8890333333333,"TCGA-ESCA"
"TCGA-LN-A7HV-01A-21R-A354-31","TCGA-LN-A7HV-01A-21R-A354-31",12.6811701754386,"TCGA-ESCA"
"TCGA-L5-A8NS-01A-12R-A37I-31","TCGA-L5-A8NS-01A-12R-A37I-31",29.2354614035088,"TCGA-ESCA"
"TCGA-JY-A6FA-01A-11R-A336-31","TCGA-JY-A6FA-01A-11R-A336-31",8.51374035087719,"TCGA-ESCA"
