,gene,log2FC,p_value,adjusted_p,-log10(adjusted_p)
0,AL627309.1,0.003479676,0.7925564663228762,0.9999853635789433,6.356563418520975e-06
1,AL669831.5,0.0030754805,0.5620207705628374,0.895487429315215,0.04794050631674149
2,LINC00115,0.006374486,0.571726667966433,0.9066704750421918,0.04255052647259395
3,FAM41C,0.04071462,0.0004829634800525506,0.0012794596963406977,2.8929733900679406
4,SAMD11,0.0013682181,0.9482018147666549,0.9999853635789433,6.356563418520975e-06
5,NOC2L,0.14582288,2.3772091815943013e-57,3.1418517801381595e-56,55.502814307070224
6,KLHL17,0.008171119,0.30386735480085725,0.5449382082003889,0.26365274058396165
7,PLEKHN1,0.0025500972,0.7587766136836234,0.9999853635789433,6.356563418520975e-06
8,HES4,0.013401106,0.25866804112587216,0.4726652269990646,0.3254463466666504
9,ISG15,0.076054335,1.2899793646271706e-18,6.956396561599236e-18,17.157615668244194
10,AGRN,0.027938277,0.01651511200938108,0.037425324160658024,1.4268344293128903
11,AL645608.9,-0.0018840968,0.8906566134419328,0.9999853635789433,6.356563418520975e-06
12,C1orf159,0.043747857,1.7922277081494758e-05,5.28855047477375e-05,4.276663346314744
13,TTLL10,0.0010668426,0.9163938957947196,0.9999853635789433,6.356563418520975e-06
14,TNFRSF18,0.1275122,1.164481589985321e-09,4.3838441667615815e-09,8.358144892187555
15,TNFRSF4,0.2892456,4.421443988432871e-30,3.331827281970358e-29,28.47731751999976
16,SDF4,0.1883812,8.825024262879941e-102,2.2641188503417376e-100,99.64510077947456
17,B3GALT6,0.08237615,1.6501161728911098e-10,6.492272256026145e-10,9.18760327615163
18,C1QTNF12,0.0050454894,0.652978534039798,0.9907624371096524,0.004030467230774168
19,AL162741.1,0.0029764604,0.8108374205645136,0.9999853635789433,6.356563418520975e-06
20,UBE2J2,0.1429494,2.962590379413636e-66,4.520225355347665e-65,64.34483991294431
21,LINC01786,-0.0015851283,0.9404749466841011,0.9999853635789433,6.356563418520975e-06
22,SCNN1D,0.0027581158,0.8332979801015092,0.9999853635789433,6.356563418520975e-06
23,ACAP3,0.035668552,0.007939402040033851,0.018700261759731995,1.728152314318498
24,PUSL1,0.18467247,1.9598499610091736e-55,2.501501570504357e-54,53.6017992201197
25,INTS11,0.086708724,1.3297467194632146e-23,8.343344153488141e-23,22.078659841891646
26,CPTP,0.13545263,4.496318832246438e-28,3.2071469229449862e-27,26.493881144105643
27,TAS1R3,0.0006819875,0.9809732415167123,0.9999853635789433,6.356563418520975e-06
28,DVL1,0.058887362,1.0700652202202295e-07,3.634360164858147e-07,6.439572036340113
29,AURKAIP1,0.094817996,7.974560220991451e-199,5.917057505052661e-197,196.22789421000206
30,CCNL2,0.062195957,9.845944313888306e-07,3.154724533613164e-06,5.501038556785844
31,MRPL20,0.18150795,1.6004762245549122e-256,2.1199789516659954e-254,253.6736684509678
32,AL391244.3,0.0073401555,0.6456749700199027,0.9833280272991896,0.007301582186482464
33,VWA1,2.8451439e-05,0.9779736287513783,0.9999853635789433,6.356563418520975e-06
34,ATAD3C,0.0046189353,0.713825433713648,0.9999853635789433,6.356563418520975e-06
35,ATAD3B,0.3405038,6.344851626351316e-184,4.233531223224411e-182,181.37329723286314
36,ATAD3A,0.21062058,3.4911018143405796e-92,7.813251895373998e-91,90.10716817402557
37,TMEM240,0.0028613978,0.8603936915564124,0.9999853635789433,6.356563418520975e-06
38,SSU72,0.1354934,9.753101975775362e-167,5.333485306752753e-165,164.27298889701177
39,AL645728.1,0.01915133,0.10706605429287337,0.2141081618055426,0.6693667770794616
40,FNDC10,-0.0041956156,0.9990099742165369,0.9999853635789433,6.356563418520975e-06
41,AL691432.2,0.016215235,0.11797061190771603,0.23366753235863733,0.6314016277749035
42,MIB2,-0.047661364,0.00011163131047435993,0.00031020840620085536,3.508346437608231
43,MMP23B,-0.00061776256,0.945107831353275,0.9999853635789433,6.356563418520975e-06
44,CDK11B,0.110277355,4.6675447864393475e-23,2.887064540681716e-22,21.539543507304376
45,FO704657.1,-0.0017611049,0.9605850953957031,0.9999853635789433,6.356563418520975e-06
46,SLC35E2B,-0.017643467,0.3245309367903243,0.5760061748570302,0.23957286086157858
47,CDK11A,0.078974664,4.731827209058945e-11,1.9117608258561242e-10,9.718566441823606
48,SLC35E2A,-0.0186622,0.2865417997588935,0.5176220288199347,0.2859872493575887
49,NADK,0.13300359,8.211922204211141e-30,6.141597359084218e-29,28.21171865914984
50,GNB1,0.11346376,4.457631550341183e-98,1.0845083997714426e-96,95.96476707992433
51,AL109917.1,0.0033591818,0.7522325971268694,0.9999853635789433,6.356563418520975e-06
52,CALML6,7.335143e-05,0.9957389830794463,0.9999853635789433,6.356563418520975e-06
53,TMEM52,0.0056567546,0.6059664637363946,0.9435642898410144,0.025228503795835383
54,GABRD,0.0033419211,0.7844366033111588,0.9999853635789433,6.356563418520975e-06
55,PRKCZ,0.039942883,0.0008848683288892875,0.002289569592996417,2.6402461512649227
56,AL590822.2,0.0067404723,0.533088447544185,0.8627647406086629,0.06410761191440796
57,PRKCZ-AS1,0.0038582683,0.7220830553742617,0.9999853635789433,6.356563418520975e-06
58,FAAP20,0.016455054,0.018506974434094898,0.041722354618064166,1.3796311899680294
59,SKI,0.0036468208,0.3470067770414559,0.6093661187327226,0.2151216965795065
60,MORN1,0.0071681887,0.5967168297281449,0.9339090415263731,0.029695420008461648
61,RER1,0.17733979,2.733052598602554e-233,2.9090742004887423e-231,230.53624520125146
62,PEX10,0.09273079,4.9305655340570895e-15,2.3436569080278807e-14,13.630105965118172
63,PLCH2,-0.00085129775,0.9508917362445085,0.9999853635789433,6.356563418520975e-06
64,PANK4,0.04244387,0.00011905509952992551,0.0003303760536614103,3.480991438771753
65,AL139246.5,-0.013454542,0.5590973933560832,0.8925791972139524,0.04935323920786782
66,TNFRSF14-AS1,0.0018494725,0.8867739641350778,0.9999853635789433,6.356563418520975e-06
67,TNFRSF14,0.11411643,4.6891252305456087e-26,3.166576184766487e-25,24.499410058804933
68,AL139246.3,0.004588835,0.5932029400879275,0.9302631073661437,0.03139420207322749
69,FAM213B,0.017155275,0.09723909414326579,0.19588030657540598,0.7080092249320362
70,MMEL1,-0.009298488,0.5551988628246352,0.8880996569487544,0.05153829769605432
71,TTC34,0.003976655,0.7964139732572695,0.9999853635789433,6.356563418520975e-06
72,MEGF6,0.0014990887,0.8932277799371346,0.9999853635789433,6.356563418520975e-06
73,AL513320.1,0.0025869547,0.9115809633874226,0.9999853635789433,6.356563418520975e-06
74,TPRG1L,0.05247937,1.530659141059205e-06,4.855640723863882e-06,5.313753454843788
75,WRAP73,0.11758053,3.447215243678837e-22,2.076923955103267e-21,20.68257940451624
76,TP73,0.038146973,0.0006746567292086839,0.0017642895044910334,2.753430149427122
77,SMIM1,-0.0055699716,0.56044402757888,0.8938923413422539,0.04871478363858981
78,LRRC47,0.15767395,1.5171503677973795e-37,1.3524268632578634e-36,35.86888621142831
79,CEP104,0.11060122,1.2069690617893297e-18,6.514645566832718e-18,17.186109207358296
80,DFFB,0.042277485,0.0003400623295477611,0.0009106011645661971,3.0406717986090395
81,C1orf174,0.09299803,2.001969440593085e-14,9.298498061476764e-14,13.031587195133158
82,LINC01134,2.904795e-06,0.8932882915953857,0.9999853635789433,6.356563418520975e-06
83,AJAP1,0.00049024494,0.9670942387332745,0.9999853635789433,6.356563418520975e-06
84,NPHP4,0.0072228163,0.39810193596957577,0.683782424263563,0.16508206636985398
85,KCNAB2,0.10548639,2.5561069762144565e-42,2.5393502749259394e-41,40.59527738893517
86,CHD5,-0.0043427674,0.7208756649810423,0.9999853635789433,6.356563418520975e-06
87,RPL22,0.07082915,0.0,0.0,inf
88,AL031847.1,0.0009153923,0.9660832932751453,0.9999853635789433,6.356563418520975e-06
89,RNF207,0.03946837,0.0011916612215921692,0.0030424451691192416,2.516777239873091
90,ICMT,0.17482412,2.7005557003338086e-54,3.3746566759866642e-53,52.4717704039615
91,LINC00337,0.012491982,0.1520960996355929,0.29428505233538976,0.5312317965246548
92,GPR153,0.011025476,0.3197276355895974,0.5684400059269419,0.24531536469616902
93,ACOT7,0.17620218,3.645417473808686e-108,1.0153793655240954e-106,105.993371666547
94,AL031848.2,-0.0053116903,0.7881276591687634,0.9999853635789433,6.356563418520975e-06
95,HES2,0.05610109,4.7088224517703684e-05,0.00013485452127251398,3.870134488359867
96,ESPN,0.0019929716,0.8558439546531772,0.9999853635789433,6.356563418520975e-06
97,TNFRSF25,0.0653615,7.29638301527604e-08,2.5047786730498395e-07,6.601230643177871
98,PLEKHG5,0.0070253033,0.4744074261338448,0.7887089618934002,0.10308322437146616
99,NOL9,0.15916789,5.150161522328933e-39,4.717991206059733e-38,37.326242872938195
100,ZBTB48,0.047289908,1.8706028404616106e-05,5.512544494583804e-05,4.258647892095673
101,KLHL21,0.04885666,1.6685785017377336e-05,4.936717532772031e-05,4.306561721366233
102,PHF13,0.027185187,0.005540422956966328,0.013268225969796689,1.8771871406647584
103,THAP3,0.06986144,1.1185661711250573e-08,4.007653831308009e-08,7.3971097985294
104,DNAJC11,0.14669964,5.4515195753265236e-31,4.183865795965188e-30,29.378422254591676
105,AL591163.1,-0.00051609334,0.96354745807399,0.9999853635789433,6.356563418520975e-06
106,CAMTA1-DT,-0.0016605803,0.895276875258991,0.9999853635789433,6.356563418520975e-06
107,CAMTA1,0.03281045,2.551188376836153e-06,7.970012326097848e-06,5.098541006941135
108,VAMP3,0.07107082,3.047400740858985e-08,1.0674558285610259e-07,6.971650087084301
109,PER3,0.022481598,0.04415042765295707,0.09406623940071229,1.0265662179413162
110,Z98884.1,0.008831116,0.4630195203129859,0.7738832335607647,0.11132456237366369
111,UTS2,-0.0046919584,0.5891782498964615,0.9259698949418635,0.033403132835518844
112,TNFRSF9,0.034736946,0.0016119357299031482,0.004060951637380684,2.3913721825719594
113,PARK7,0.062324524,1.0431190301831561e-185,7.119486449517251e-184,183.14755133223179
114,AL034417.4,0.00379368,0.6733105870579401,0.9999853635789433,6.356563418520975e-06
115,AL034417.3,0.0022036086,0.8742682624454041,0.9999853635789433,6.356563418520975e-06
116,ERRFI1,0.005190119,0.7050571005527266,0.9999853635789433,6.356563418520975e-06
117,SLC45A1,0.000736685,0.9336272338393539,0.9999853635789433,6.356563418520975e-06
